activation_regime,beta_a_R,beta_a_T,erk_regime,beta_d_R,beta_d_T,lambda_d,n_observed_deaths_analyzed_mean,n_observed_deaths_analyzed_std,n_observed_deaths_analyzed_min,n_observed_deaths_analyzed_max,analysis_time_span_mean,analysis_time_span_std,analysis_time_span_min,analysis_time_span_max,observed_death_rate_after_burnin_mean,observed_death_rate_after_burnin_std,observed_death_rate_after_burnin_min,observed_death_rate_after_burnin_max,accepted_activations_during_analysis_mean,accepted_activations_during_analysis_std,accepted_activations_during_analysis_min,accepted_activations_during_analysis_max,t_zone_observed_fraction_mean,t_zone_observed_fraction_std,t_zone_observed_fraction_min,t_zone_observed_fraction_max,t_zone_density_ratio_mean,t_zone_density_ratio_std,t_zone_density_ratio_min,t_zone_density_ratio_max,t_zone_binomial_p_value_greater_mean,t_zone_binomial_p_value_greater_std,t_zone_binomial_p_value_greater_min,t_zone_binomial_p_value_greater_max,death_candidates_mean,death_candidates_std,death_candidates_min,death_candidates_max,death_rejected_mean,death_rejected_std,death_rejected_min,death_rejected_max,activation_candidates_mean,activation_candidates_std,activation_candidates_min,activation_candidates_max,activation_rejected_mean,activation_rejected_std,activation_rejected_min,activation_rejected_max
medium_activation,2.5,3.0,strong_ERK_protection,1.0,0.4,0.25,1000.0,0.0,1000,1000,298.0246606944764,19.26212158521333,277.80251809587554,334.5111292192022,3.367504782976062,0.20788831442895064,2.9894371596369482,3.59967939403227,46045.7,2039.7217702422056,43353,50229,0.6125999999999999,0.019884108674461092,0.577,0.637,1.9840992968722564,0.16162019202970979,1.7050827423167845,2.1935261707988976,2.8686472342390875e-18,9.034062308072582e-18,1.5635610104744767e-34,2.8579862795730186e-17,11216.6,519.9444842160236,10675,12227,9716.6,519.9444842160236,9175,10727,224632.0,10786.013886304596,213047,247157,156352.3,8940.621293971815,145831,174468
medium_activation,2.5,3.0,strong_ERK_protection,1.0,0.4,0.5,1000.0,0.0,1000,1000,215.98046498985764,10.676686982920106,192.29083694422914,227.98301471430747,4.640798845635575,0.24201619280958847,4.386291677268725,5.200455808978739,32652.6,1933.8807385956122,29482,34386,0.6141,0.012792793110011438,0.587,0.628,1.9922999034858364,0.10458946816581144,1.7766343825665853,2.1102150537634405,1.0656825305986289e-20,3.368566155702426e-20,1.587620792900055e-31,1.0652789204078878e-19,16172.1,775.3119013948158,14305,17023,14672.1,775.3119013948158,12805,15523,161518.3,8128.339246119098,142820,171193,111972.3,6258.929941380643,97356,118150
medium_activation,2.5,3.0,strong_ERK_protection,1.0,0.4,1.0,1000.0,0.0,1000,1000,161.97779418037564,10.294803581897083,149.7603937441997,186.23764202232718,6.194723148149669,0.36881072183776303,5.369483790393537,6.677332871520516,24844.9,1383.0645883528202,22925,27114,0.5965,0.018939963627795695,0.564,0.626,1.8540842581675925,0.1467388584235971,1.6169724770642198,2.0922459893048124,2.244186423475744e-15,7.094561764452647e-15,7.055524839515104e-31,2.243566257772062e-14,24467.4,1339.734069798099,22690,26229,22967.4,1339.734069798099,21190,24729,122251.3,6663.240770576033,112663,129760,84460.6,5221.9317030301245,76776,90613
medium_activation,2.5,3.0,strong_ERK_protection,1.0,0.4,2.0,1000.0,0.0,1000,1000,135.8329070073777,10.808707218569243,115.0930206019806,151.8545540469787,7.406008258994239,0.6171671985486935,6.585248669530408,8.688624164780947,20653.1,1575.7584029426735,18121,23723,0.5793,0.03005568905289717,0.513,0.622,1.734281110427722,0.20367998698137696,1.3167351129363447,2.0568783068783065,7.921791757481841e-07,2.50509016203465e-06,1.3243889209824878e-29,7.921790766246914e-06,40401.8,2262.37902316222,37102,44843,38901.8,2262.37902316222,35602,43343,101067.8,5600.224634383478,92125,111418,70107.0,5023.700650140513,62668,77505
medium_activation,2.5,3.0,strong_ERK_protection,1.0,0.4,4.0,1000.0,0.0,1000,1000,113.07053527816034,9.367975753588116,100.61807482393954,131.4877500257275,8.897000119156454,0.7128346802523048,7.605271211989979,9.938572187450312,17301.7,1158.4596142195792,15766,19433,0.5686,0.03053668103918447,0.523,0.607,1.660544958069848,0.2043582577567373,1.3705450733752618,1.9306615776081422,3.842257298305013e-08,1.1726909817979577e-07,4.339368811735295e-25,3.720864514872475e-07,67423.2,4005.5109203862276,62386,73433,65923.2,4005.510920386229,60886,71933,84314.4,5147.288459848437,78494,92071,58594.4,4665.389044156267,53048,65731
medium_activation,2.5,3.0,weak_ERK_protection,4.0,1.6,0.25,1000.0,0.0,1000,1000,150.61529226572424,11.70259463641656,137.37500535384862,177.04668316908192,6.673569615992717,0.4902957672843286,5.648227812576341,7.279344575268361,23010.9,594.9951353676018,22262,24190,0.643,0.027349588662354693,0.609,0.696,2.2710347564164506,0.2855815380120614,1.9469309462915596,2.8618421052631575,1.1501574990896587e-26,3.6204781816504074e-26,4.4910209758608334e-58,1.1454133245887514e-25,5694.4,334.6378473647129,5091,6427,4194.4,334.6378473647129,3591,4927,114404.4,7382.112768939073,103007,130471,79850.1,6840.0602247186225,68750,94348
medium_activation,2.5,3.0,weak_ERK_protection,4.0,1.6,0.5,1000.0,0.0,1000,1000,79.01104727915087,6.885738908534133,64.2085447758327,87.40641613982177,12.750786864063738,1.209692994824811,11.440807713707493,15.574251113948115,11859.5,353.9884649721419,11191,12437,0.6428,0.04158471941577684,0.591,0.706,2.293941847394524,0.4261814208043915,1.8062347188264054,3.001700680272108,1.0416429728644941e-21,3.2019449981979243e-21,9.465305595303964e-63,1.015147828555154e-20,5815.1,310.9496029191154,5356,6333,4315.1,310.9496029191154,3856,4833,58279.7,3358.929493818595,52783,63535,40683.6,3239.99174210196,35528,45498
medium_activation,2.5,3.0,weak_ERK_protection,4.0,1.6,1.0,1000.0,0.0,1000,1000,39.5834057478711,2.7668939582721075,35.26010647094658,44.86441896136175,25.374084275596516,1.770353668865394,22.28937815646788,28.360663086028236,6229.0,203.51303534554137,5947,6571,0.6359,0.03882854047676212,0.559,0.678,2.2164250895757442,0.34833688456343814,1.5844671201814056,2.6319875776397508,2.4321321652718356e-14,7.69107719559209e-14,3.604644482131949e-50,2.432132160369804e-13,6323.6,370.41454255109016,5743,6775,4823.6,370.41454255109016,4243,5275,31750.9,2061.363866203366,28492,34835,22353.8,1860.5831105089374,19347,25231
medium_activation,2.5,3.0,weak_ERK_protection,4.0,1.6,2.0,1000.0,0.0,1000,1000,24.343831133031593,2.6381067803442177,20.70986973210683,29.664067685302292,41.49819744465144,4.335487375746873,33.71081844232279,48.28615596986033,3463.2,113.18500096940612,3341,3671,0.6574,0.038262833722091806,0.599,0.725,2.4406630675802417,0.42260216752451113,1.8672069825436406,3.2954545454545445,8.16545570138397e-24,2.3812376215325257e-23,3.2621020318021173e-72,7.572911711703456e-23,7321.6,504.95988839598823,6504,8115,5821.6,504.95988839598823,5004,6615,18291.3,1298.6447679536288,16227,20758,13086.9,1205.1602429183893,11193,15452
medium_activation,2.5,3.0,weak_ERK_protection,4.0,1.6,4.0,1000.0,0.0,1000,1000,14.169999708173373,2.728020222942066,9.743858579176177,18.124914765080554,73.06108898244841,14.662155643980642,55.172673249012966,102.62874731547551,2067.0,105.91296216967754,1896,2208,0.6479999999999999,0.06481083585670255,0.555,0.748,2.417075372873389,0.7086049247407283,1.5589887640449434,3.7103174603174596,1.5266485347859588e-13,4.816797476955615e-13,1.0149484300448306e-84,1.523546640963671e-12,9331.9,1319.976131939093,7750,11294,7831.9,1319.9761319390925,6250,9794,11652.5,1557.4260995487252,9842,13967,8542.8,1511.6114139112162,6791,10873
